PR	PM	T
-50	-34	156
-50	-34	156
-50	-34	156
-50	-34	156
-50	-34	156
-50	-34	156
-50	-34	156
-50	-34	156
-51	-35	156
-51	-35	156
-51	-35	156
-51	-35	156
-51	-35	156
-51	-36	156
-52	-36	156
-52	-36	156
-52	-36	156
-52	-36	156
-52	-36	156
-52	-36	156
-52	-36	156
-52	-36	156
-52	-36	156
-52	-36	156
-52	-36	156
-52	-36	156
-52	-36	156
-52	-36	156
-52	-36	156
-52	-36	156
-52	-36	156
-52	-36	156
-52	-36	156
-53	-37	156
-53	-37	156
-53	-37	156
-53	-37	164
-53	-37	164
-53	-38	164
-54	-38	164
-54	-38	164
-54	-38	164
-54	-38	164
-54	-38	164
-54	-38	164
-54	-38	164
-54	-38	164
-54	-38	164
-54	-38	164
-54	-38	164
-54	-38	164
-54	-38	164
-54	-38	164
-54	-38	164
-54	-38	164
-54	-38	164
-54	-38	164
-54	-38	164
-54	-39	164
-54	-39	152
-54	-39	152
-55	-39	164
-55	-39	164
-55	-39	164
-55	-40	164
-55	-40	164
-56	-40	152
-56	-40	164
-56	-40	164
-56	-40	164
-56	-40	164
-56	-40	164
-56	-40	164
-56	-40	164
-56	-40	164
-56	-40	164
-56	-40	164
-56	-40	164
-56	-40	164
-56	-40	164
-56	-40	164
-56	-40	164
-56	-40	164
-56	-40	164
-56	-41	152
-56	-41	152
-57	-41	152
-57	-41	164
-57	-41	164
-57	-42	152
-57	-42	152
-58	-42	152
-58	-42	164
-58	-42	164
-58	-42	164
-58	-42	164
-58	-42	164
-58	-42	164
-58	-42	164
-58	-42	164
-58	-42	164
-58	-42	164
-58	-42	164
-58	-42	164
-58	-42	164
-58	-42	164
-58	-42	164
-58	-42	164
-59	-43	164
-59	-43	164
-59	-43	164
-59	-43	164
-59	-43	164
-59	-43	164
-59	-44	152
-59	-44	152
-60	-44	152
-60	-44	164
-60	-44	164
-60	-44	164
-60	-44	164
-60	-44	164
-60	-44	164
-60	-44	164
-60	-44	164
-60	-44	164
-60	-44	164
-60	-44	164
-60	-44	164
-60	-44	164
-60	-44	164
-60	-44	164
-60	-44	164
-61	-45	164
-61	-45	164
-61	-45	164
-61	-45	164
-61	-45	164
-61	-45	164
-61	-46	164
-61	-46	152
-62	-46	152
-62	-46	164
-62	-46	164
-62	-46	164
-62	-46	164
-62	-46	164
-62	-46	164
-62	-46	164
-62	-46	164
-62	-46	164
-62	-46	164
-62	-46	164
-62	-46	164
-62	-46	164
-62	-46	164
-62	-46	164
-62	-46	164
-63	-47	164
-63	-47	164
-63	-47	164
-63	-47	164
-63	-47	164
-63	-47	164
-63	-47	164
-63	-48	164
-64	-48	152
-64	-48	152
-64	-48	164
-64	-48	164
-64	-48	164
-64	-48	164
-64	-48	164
-64	-48	164
-64	-48	156
-64	-48	156
-64	-48	156
-64	-48	156
-64	-48	156
-64	-48	156
-64	-48	156
-64	-48	156
-64	-48	156
-64	-49	144
-64	-49	144
-64	-49	144
-64	-49	144
-64	-49	144
-64	-49	144
-64	-49	144
-64	-50	132
-64	-50	132
-64	-50	132
-64	-50	132
-64	-50	132
-64	-50	132
-64	-50	132
-64	-50	132
-64	-50	132
-64	-50	132
-64	-50	132
-64	-50	132
-64	-50	132
-64	-50	132
-64	-50	132
-64	-50	132
-64	-50	132
-64	-51	132
-64	-51	120
-64	-51	120
-64	-51	120
-64	-51	120
-64	-51	120
-64	-51	120
-64	-52	120
-64	-52	108
-64	-52	108
-64	-52	108
-64	-52	108
-64	-52	108
-64	-52	108
-64	-52	108
-64	-52	108
-64	-52	108
-64	-52	108
-64	-52	108
-64	-52	108
-64	-52	108
-64	-52	108
-64	-52	108
-64	-52	108
-64	-53	108
-64	-53	96
-64	-53	96
-64	-53	96
-64	-53	96
-64	-53	96
-64	-53	96
-64	-53	96
